Grant.Status,Sponsor.Code,Grant.Category.Code,Contract.Value.Band...see.note.A,RFCD.Code.1,RFCD.Percentage.1,RFCD.Code.2,RFCD.Percentage.2,RFCD.Code.3,RFCD.Percentage.3,RFCD.Code.4,RFCD.Percentage.4,RFCD.Code.5,RFCD.Percentage.5,SEO.Code.1,SEO.Percentage.1,SEO.Code.2,SEO.Percentage.2,SEO.Code.3,SEO.Percentage.3,SEO.Code.4,SEO.Percentage.4,SEO.Code.5,SEO.Percentage.5,Person.ID.1,Role.1,Year.of.Birth.1,Country.of.Birth.1,Home.Language.1,Dept.No..1,Faculty.No..1,With.PHD.1,No..of.Years.in.Uni.at.Time.of.Grant.1,Number.of.Successful.Grant.1,Number.of.Unsuccessful.Grant.1,A..1,A.1,B.1,C.1
1,21A,50A,A ,230202.0,50.0,230203.0,30.0,230204.0,20.0,0.0,0.0,0.0,0.0,780101.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493297.0,CHIEF_INVESTIGATOR,1965.0,Australia,,3098.0,31.0,Yes ,>=0 to 5,2.0,0.0,0.0,4.0,2.0,0.0
1,4D,10A,D ,320801.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730112.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330592.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2553.0,25.0,Yes ,>=0 to 5,3.0,1.0,0.0,2.0,0.0,0.0
0,,,,320602.0,50.0,321004.0,30.0,321015.0,20.0,0.0,0.0,0.0,0.0,730203.0,60.0,730105.0,20.0,730108.0,20.0,0.0,0.0,0.0,0.0,66887.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2813.0,25.0,,Less than 0,1.0,5.0,0.0,7.0,2.0,0.0
0,51C,20C,A ,291503.0,60.0,321402.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,730114.0,60.0,671401.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,63812.0,CHIEF_INVESTIGATOR,1950.0,Great Britain,,2553.0,25.0,,more than 15,2.0,1.0,5.0,6.0,9.0,1.0
0,24D,30B,,380107.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,50.0,730306.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,13687.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2923.0,25.0,,Less than 0,0.0,2.0,0.0,0.0,0.0,0.0
1,288D,30B,A ,321105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,50.0,730302.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,574367.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,2568.0,25.0,Yes ,>=0 to 5,0.0,4.0,0.0,1.0,0.0,2.0
1,21A,50A,A ,380205.0,40.0,379902.0,30.0,380102.0,30.0,0.0,0.0,0.0,0.0,749903.0,40.0,740102.0,30.0,750309.0,30.0,0.0,0.0,0.0,0.0,4762.0,CHIEF_INVESTIGATOR,1950.0,Great Britain,,593.0,7.0,Yes ,>5 to 10,1.0,0.0,1.0,2.0,6.0,0.0
1,2B,10A,D ,410302.0,40.0,420306.0,30.0,379999.0,30.0,0.0,0.0,0.0,0.0,751003.0,40.0,750901.0,30.0,750701.0,30.0,0.0,0.0,0.0,0.0,82442.0,CHIEF_INVESTIGATOR,1955.0,Australia,,528.0,7.0,Yes ,more than 15,0.0,1.0,0.0,2.0,3.0,2.0
1,34B,30C,A ,270401.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770703.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
1,,,C ,270802.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730115.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71867.0,CHIEF_INVESTIGATOR,1945.0,Australia,,2578.0,25.0,Yes ,more than 15,3.0,1.0,7.0,21.0,31.0,15.0
