sn	we
200	8.8
199.3	10
193.6	22.4
167.7	35.6
183.9	45.4
182.5	47.2
166.1	48.8
160.7	42.1
162.9	29
166.4	33.6
163	35.8
156.1	38.7
157.6	42.8
154.4	36.2
150.8	45.8
144.6	25.4
142.7	25.4
144	28.3
143.5	36.9
123.1	14.3
113.9	13.1
114.9	8.1
101.4	9.3
105.7	9.1
106.9	14.7
127	29.7
129.8	45.8
136.3	44.2
106.7	49.4
103.4	49.6
89.7	10.8
10.8	0
26.4	5.4
11	5.5
5.1	3.9
10.1	8.5
18.9	11.3
28.4	11
41.1	9.2
41.2	12.6
33.9	21.4
40.8	39.8
49.7	18.2
6.7	46.9
11.6	46.9
17.2	47.9
19.4	50
26.9	47.9
39.6	47.9
38	50.7
19.1	45.2
32.1	35
28.4	35.5
3.8	44.8
8.5	43.4
11.2	40.2
22.4	34.3
23.8	33.3
24.9	29.8
9	38.9
10.4	61.2
30.9	52.2
48.9	67.8
49.5	73.8
46.3	80.9
44.1	78
48.5	94.8
45.9	90.4
44.2	84
37	64.3
36.3	67.7
36.7	71.5
35.3	78.3
33.5	81.6
29.3	83.8
22.4	84.1
17.1	84.7
27.3	89.4
27.9	90.6
48.4	99.5
43.6	98.4
39	97.3
14.9	91.2
6.1	96.2
10.7	98.6
22.2	100
32.7	99.1
0.9	100
93.5	96.2
85.1	90.6
92.8	61.5
91.3	69.5
95.9	59.7
93.4	71.5
89.6	86.3
99.5	78.9
100.6	53.1
103.5	72.1
104.7	74
104	67.1
104.2	64.7
105	59.8
111.8	73.2
112.4	69.8
110	65.9
120.4	79.2
109.4	62.5
109.7	62.9
113.3	60.4
118	69.3
126.5	69.2
125.1	68.2
114.2	54.6
110.6	51.5
147.3	73.8
146.7	73
148.1	86.2
138.2	73.4
135.7	70.7
134.9	72.7
98	27.7
93.5	28.7
82.3	16.8
79.2	25.3
84.2	29
88.8	35.1
82.5	36.3
75.6	28.1
72.9	36.2
79.1	43.6
50	48.8
59.9	34.4
60.5	13
60.2	11.4
66.5	15.9
70.4	6.6
70.7	2.2
71.7	1.9
179.5	92.6
186.1	91
178.3	92.4
178.6	91.8
186.2	90.3
185.2	89.9
185.5	89.8
185.8	89.1
186.5	88.8
176.7	92.3
177.7	91.5
184	89
11	34.4
17.5	21.9
4.3	31.3
5.9	8.1
1.9	68.5
1.8	71
1.1	82.5
2.4	95.3
4.6	94
3.1	79.5
3.9	72.1
4.1	70.9
7.9	68.7
14.8	81.8
9.4	67.7
15.9	78.7
16.6	78.8
18.2	80.3
174.1	135.6
173	127.4
174	125.7
177.3	121
177.6	120.3
195.7	144.1
197	142.5
178.2	112.6
173.8	112.7
172.8	124.4
162.7	114.6
164.6	120.9
80.4	90.7
71	88.8
73	85.6
56.7	95.3
66.5	86.2
67	84.7
62.9	87.9
61.8	89
51.9	94.5
60.9	71.6
61	69.8
61.7	66.2
57.3	68.4
54.2	76.3
76.1	52.9
67.2	57.6
81.9	58.5
90.1	59.6
135.3	126.6
135	124
136.2	122.1
129.7	127
134.8	120.2
136.9	116.8
137	116
128.9	124.2
127.5	125
127.6	121.7
129.7	119
126.6	121.1
133.4	77.1
129.9	76.1
126.5	77.3
129.1	83.1
134.4	87
130.7	90.1
130.9	90.7
132	94.5
136.8	96.7
137.7	98
157.8	99
187.1	98.1
190.6	92.1
185.4	93.1
186.6	92.2
185.9	91.7
184.3	92.1
188.2	91.2
104.4	145.1
104.9	145
101.5	148.4
102.4	148.7
123.4	128.9
123.8	135.1
127	133.8
109.6	145.9
112.4	145
133.1	144.8
139.4	143.1
140.4	143.6
184.1	88.2
183.5	88.5
183	88
176.1	91
175.6	90.2
173.8	89.9
164.9	93.7
163	95.3
163.2	94.1
162.4	94.5
161.5	94.9
162.2	94.3
161	94.7
157.7	95.7
154.9	96.2
154.6	92.7
152.9	93.7
153.2	93.2
168.2	73
151.6	93
151.4	93.4
157.6	67.2
149.4	63
149.4	64.3
167.3	54.6
157.4	51.5
181.5	66.1
196.5	55.2
189.9	85.2
155.1	149.2
154.5	148.4
162.9	119.9
158.4	113.4
153.9	108.3
156.1	116
156.5	118.9
156.8	122.3
159	126.1
161	131.9
161.3	132.8
160.6	132.6
161.3	134.9
159.7	129.8
161.7	136.1
161.1	136.4
160.1	133
159	133.6
160	134.8
160.2	135.5
159.1	136.5
154.7	126.8
151.9	127.5
151.3	124.7
151	127.3
150.4	123
149.6	124.6
146.2	127.1
146.1	127.4
144.4	131.8
143.3	131.5
140.6	137.7
143.2	125.4
127.1	119.9
120.7	115.6
115.3	112.6
134.1	105.2
134.6	104.1
135.6	103.3
128.9	102.6
116.3	106.5
104.3	104
111.5	100
100.5	149.7
100	145.5
100.8	145
100.9	143.5
100.3	140.8
101.5	120.8
99.3	110.6
99.2	106
102	137.1
105.4	115.7
103.6	134.2
103.9	139.4
102.6	141.6
102	143.3
102.1	144.4
103.5	141.3
102.9	143.8
105.7	138.2
106.6	135.1
108.5	133.2
105.2	142.3
139.7	145.8
145.5	148.4
146.4	148.4
105.8	149.8
96.7	149.1
66.5	150
55.7	148.5
54.7	146.8
57.1	144
61.7	145.3
60.1	143.7
77.7	144.8
67.2	139.3
80.7	133.2
85.1	133.5
94.7	143.7
81.2	125
81.9	123.2
83.8	123.1
84.8	121.4
82.9	119.2
82.1	116.4
84.3	114.8
96.7	142.6
92	109
96.1	146.6
78.5	102.5
78.7	103
59.5	107.4
56.5	105.5
64.3	132.1
152.7	146.7
155.8	145.4
161.2	138.1
161	138.1
162.1	136.9
166.2	132
168.7	133.4
169.3	133.7
57.9	140.7
57.5	142.3
57.3	141.7
56	137.7
53.4	139.3
53.1	136
54	137.7
54.5	136.7
53.3	137.8
52.1	139.3
48	114.4
44.2	129.6
39.4	136.8
42.7	124
38.1	134.4
37.1	131.9
37.6	125.4
31.2	127.9
40.1	112.2
29.3	118.6
23.8	114.5
141	127.8
140.1	127.3
140.9	121.4
135	132.3
139.3	122.9
142	117.2
140.4	117.2
138.5	121.5
28.7	158.8
33.7	162.3
23.1	160.8
11.3	158.9
18.2	168.2
21.5	172.3
15.9	168.3
15.4	172.8
14	174.2
6.8	179.6
6	184.1
1.6	194.9
43.6	197.3
39.4	195.5
37.1	196.1
23.7	193.9
21.5	187.9
27.7	188.7
32.3	178.9
32.6	168.6
37.7	176.9
107.5	138.5
107.9	139.5
116.5	122.6
114.5	127.7
115.3	127.4
115.3	128.1
119	127.4
119.4	127.7
94.7	179.8
89.3	185
90.8	174
95.3	158.4
90.9	162.1
90.2	161.7
90.2	162.1
90.6	160.8
93	158
78.4	172.4
76.2	171.4
75.8	171
75.7	169.7
82.7	163.5
76.7	166.3
74.7	167.1
119.4	170.8
74.2	164.3
73.9	162.7
81.7	156.7
79.5	156.3
56.8	116
62.2	137.7
58.2	125.1
54.1	115.5
59.5	138.1
58.6	140.3
58.8	141.5
57.9	137.3
153.5	159.9
155.9	183.7
160.4	176.6
171.3	185.1
182.8	187.4
182.5	196
176.3	197.7
161.9	199.4
199.5	179.4
197.6	176.9
196.3	192.4
195.7	180.5
196.2	177.1
196.3	176
193.7	185.8
191.7	189.2
194.5	173.8
192.7	177.3
188.9	182.1
190.1	174.4
186.9	179.4
26.9	111.3
17.9	111
34.4	104.2
31.9	103.2
20.6	101.5
14.1	103.1
2.9	122.8
6.4	125.9
2.2	142.2
11.7	116.2
14.2	116.5
15.6	118.1
13.6	127.4
11.1	134.8
7.2	141.7
12.2	140.1
23	132.7
30.2	133.9
27.7	136.5
3.4	148.8
15.4	145.6
16.7	146.4
24.3	145.7
0.4	175.2
0	177.5
7.9	151
33.2	151.2
36.6	150.6
42.2	153.7
24.5	153.4
40.4	179.3
41	176.6
43.9	182.2
44.7	184.6
45.6	175.2
47.5	175.9
51.2	177.9
55	159.3
58	180.3
54.6	188.7
58.9	180
63.9	178.6
64.3	178.9
65.6	179.3
61	184.9
63.1	183.3
86.1	186.9
65.8	194.9
90	195.1
94.3	196.1
91.9	197.1
86.5	197.4
87.5	199.3
93.9	199.2
92.4	199.3
81.8	198.9
99	158.1
94.1	187.2
95.4	182.9
97.1	168.4
79.2	155.6
61.6	158.2
70.3	153.1
79.8	151.8
110.1	150.4
116.1	156.8
114	165.1
103.2	154.4
112.3	167
110.4	167.3
110.6	166.4
107	165
105.6	160.6
104	162.4
104	166.1
103.7	167.2
108.6	182.1
105.7	182.6
102.8	169.7
101.5	171.8
100.4	170.5
144.1	199
138.3	197.9
142.7	197.2
118.8	188
142.3	173.3
143.8	156
145.3	155.6
151.2	192.2
153.7	176.5
186.9	174.7
181.2	176.9
181.1	176.1
177.2	174.5
182.8	162.9
180	160.2
189.1	156.3
196.9	151.4
171.4	161.6
169.1	160
162.5	157.3
156.7	155.3
154.1	150.8
87.7	200
