ceb	age	educ	religion	idlnchld	knowmeth	usemeth	evermarr	agefm	heduc	urban	electric	radio	tv	bicycle
0	18	10	catholic	4	1	1	0	NA	NA	1	1	1	1	1
2	43	11	protestant	2	1	1	1	20	14	1	1	1	1	1
0	49	4	spirit	4	1	0	1	22	1	1	1	1	0	0
0	24	12	other	2	1	0	0	NA	NA	1	1	1	1	1
3	32	13	other	3	1	1	1	24	12	1	1	1	1	1
1	30	5	spirit	5	1	0	1	24	7	1	1	0	0	0
3	42	4	other	3	1	0	1	15	11	1	1	0	1	0
1	36	7	other	4	1	1	1	24	9	1	1	0	0	0
4	37	16	catholic	4	1	1	1	26	17	1	1	1	1	1
1	34	5	protestant	4	1	1	1	18	3	1	0	1	0	0
3	42	15	other	3	1	1	1	24	16	1	1	1	1	1
3	29	7	spirit	6	1	1	1	24	7	1	1	1	0	0
4	45	0	spirit	6	1	0	1	23	NA	1	1	1	0	0
10	48	4	protestant	4	1	1	1	26	3	1	1	1	0	0
3	35	12	protestant	3	1	1	1	21	16	1	1	1	1	1
0	26	7	catholic	4	1	1	0	NA	NA	1	1	1	0	0
4	38	7	protestant	5	1	1	0	NA	NA	1	1	1	0	1
2	47	5	spirit	1	1	0	0	NA	NA	1	1	1	0	0
0	32	16	protestant	2	1	1	1	25	16	1	1	1	1	0
1	27	12	spirit	3	1	1	1	23	16	1	1	1	1	0
0	23	12	protestant	2	1	1	1	18	12	1	1	1	1	0
4	39	11	protestant	4	1	0	1	23	16	1	1	1	1	1
2	38	12	other	4	1	0	1	25	14	1	1	1	1	1
4	39	6	spirit	4	1	0	1	18	10	1	1	1	0	1
1	21	10	spirit	1	1	0	0	NA	NA	1	1	1	0	1
2	43	16	protestant	4	1	1	1	22	15	1	1	1	1	1
6	41	13	protestant	6	1	1	1	18	15	1	1	1	1	1
3	46	3	protestant	4	1	0	0	NA	NA	1	1	1	1	1
1	25	10	protestant	NA	1	1	0	NA	NA	1	0	0	0	0
4	46	0	other	4	1	1	0	NA	NA	1	1	1	0	0
3	49	12	spirit	3	1	1	1	21	15	1	1	1	1	1
7	43	6	protestant	NA	1	1	0	NA	NA	1	0	0	0	1
4	39	5	protestant	4	1	1	0	NA	NA	1	0	0	0	0
4	39	5	protestant	4	1	1	0	NA	NA	1	0	0	0	0
4	25	5	other	4	1	1	1	21	14	1	0	0	0	0
2	22	7	spirit	4	1	1	0	NA	NA	1	0	0	0	0
3	35	6	protestant	2	1	1	0	NA	NA	1	0	1	0	0
2	40	12	catholic	2	1	1	1	25	15	1	1	1	1	1
5	40	7	spirit	5	1	1	1	17	0	1	1	1	0	1
2	29	0	protestant	6	1	1	0	NA	NA	1	0	0	0	0
1	33	12	other	4	1	1	1	22	12	1	1	1	0	0
2	26	3	protestant	2	1	1	0	NA	NA	1	0	0	0	0
2	41	12	protestant	2	1	1	1	23	13	1	1	1	1	0
1	21	7	protestant	4	1	1	0	NA	NA	1	1	1	0	0
0	19	10	protestant	4	1	0	0	NA	NA	1	1	1	0	0
1	28	0	spirit	4	1	1	0	NA	NA	1	1	0	0	0
1	25	12	catholic	2	1	1	1	25	14	1	1	1	1	0
3	48	12	catholic	4	1	0	1	30	15	1	1	1	1	1
3	32	14	catholic	3	1	1	1	22	14	1	1	1	1	1
3	27	10	protestant	3	0	0	1	17	7	1	1	1	1	1
2	37	5	spirit	6	1	1	0	NA	NA	1	0	1	0	0
0	24	10	catholic	2	0	0	0	NA	NA	1	0	0	0	0
