month;WAG_C_M
01.01.1993;15.3
01.02.1993;19.1
01.03.1993;23.6
01.04.1993;30.6
01.05.1993;37.5
01.06.1993;47.4
01.07.1993;56
01.08.1993;65.4
01.09.1993;80.9
01.10.1993;93
01.11.1993;101.5
01.12.1993;141.2
01.01.1994;134.2
01.02.1994;144.7
01.03.1994;164.8
01.04.1994;171.5
01.05.1994;183.5
01.06.1994;207.5
01.07.1994;221
01.08.1994;232.8
01.09.1994;253.2
01.10.1994;265
01.11.1994;281.6
01.12.1994;354.2
01.01.1995;302.6
01.02.1995;321
01.03.1995;361.5
01.04.1995;386.2
01.05.1995;429.9
01.06.1995;480.6
01.07.1995;499.5
01.08.1995;520.6
01.09.1995;564.5
01.10.1995;594.5
01.11.1995;615.7
01.12.1995;735.5
01.01.1996;654.8
01.02.1996;684.4
01.03.1996;745
01.04.1996;746.5
01.05.1996;779.3
01.06.1996;837.2
01.07.1996;842.8
01.08.1996;831
01.09.1996;848.1
01.10.1996;843.3
01.11.1996;835
01.12.1996;1017
01.01.1997;812
01.02.1997;821
01.03.1997;903
01.04.1997;901
01.05.1997;920
01.06.1997;993.2
01.07.1997;999.1
01.08.1997;982.3
01.09.1997;1026.2
01.10.1997;1006.1
01.11.1997;997.8
01.12.1997;1214.8
01.01.1998;988
01.02.1998;1000
01.03.1998;1059
01.04.1998;1040
01.05.1998;1047
01.06.1998;1122
01.07.1998;1110
01.08.1998;1052
01.09.1998;1112
01.10.1998;1123
01.11.1998;1164
01.12.1998;1482
01.01.1999;1167
01.02.1999;1199
01.03.1999;1385
01.04.1999;1423
01.05.1999;1472
01.06.1999;1626
01.07.1999;1618
01.08.1999;1608
01.09.1999;1684
01.10.1999;1716
01.11.1999;1789
01.12.1999;2283
01.01.2000;1830
01.02.2000;1839
01.03.2000;2018
01.04.2000;2039
01.05.2000;2101
01.06.2000;2294
01.07.2000;2302
01.08.2000;2289
01.09.2000;2367
01.10.2000;2425
01.11.2000;2508
01.12.2000;3025
01.01.2001;2733
01.02.2001;2655
01.03.2001;2964
01.04.2001;2923
01.05.2001;3054
01.06.2001;3284
01.07.2001;3364
01.08.2001;3376
01.09.2001;3405
01.10.2001;3515
01.11.2001;3578
01.12.2001;4541
01.01.2002;3760
01.02.2002;3725
01.03.2002;4031
01.04.2002;4110
01.05.2002;4187
01.06.2002;4460
01.07.2002;4597
01.08.2002;4511
01.09.2002;4521
01.10.2002;4646
01.11.2002;4694
01.12.2002;5738
01.01.2003;4696
01.02.2003;4701
01.03.2003;4986
01.04.2003;5100
01.05.2003;5221
01.06.2003;5550
01.07.2003;5615
01.08.2003;5491
01.09.2003;5556
01.10.2003;5864
01.11.2003;5990
01.12.2003;7344
01.01.2004;5932
01.02.2004;6141
01.03.2004;6428
01.04.2004;6448
01.05.2004;6524
01.06.2004;7003
01.07.2004;6982
01.08.2004;6873
01.09.2004;6918
01.10.2004;6908
01.11.2004;7046
01.12.2004;8799
01.01.2005;7346
01.02.2005;7465
01.03.2005;8093
01.04.2005;8002
01.05.2005;8089
01.06.2005;8637
01.07.2005;8651
01.08.2005;8616
01.09.2005;8829
01.10.2005;8701
01.11.2005;8931
01.12.2005;11319
01.01.2006;9016
01.02.2006;9255
01.03.2006;9914
01.04.2006;9833
01.05.2006;10257
01.06.2006;11106
01.07.2006;10883
01.08.2006;10853
01.09.2006;11127
01.10.2006;11046
01.11.2006;11303
01.12.2006;14263
01.01.2007;11430
01.02.2007;11757
01.03.2007;12448
01.04.2007;12494
01.05.2007;12787
01.06.2007;13712
01.07.2007;13546
01.08.2007;13270
01.09.2007;13677
01.10.2007;13986
01.11.2007;14656
01.12.2007;18591
01.01.2008;14771
01.02.2008;15354
01.03.2008;16172
01.04.2008;16538
01.05.2008;16643
01.06.2008;17715
01.07.2008;17758
01.08.2008;17244
01.09.2008;17739
01.10.2008;17643
01.11.2008;17598
01.12.2008;21681
01.01.2009;17119
01.02.2009;17098
01.03.2009;18129
01.04.2009;18009
01.05.2009;18007
01.06.2009;19247
01.07.2009;18872
01.08.2009;18335
01.09.2009;18838
01.10.2009;18798
01.11.2009;19215
01.12.2009;23827
01.01.2010;18938
01.02.2010;19017
01.03.2010;20589
01.04.2010;20358
01.05.2010;20279
01.06.2010;21795
01.07.2010;21325
01.08.2010;20753
01.09.2010;20999
01.10.2010;20970
01.11.2010;21486
01.12.2010;28027
01.01.2011;20669
01.02.2011;20680
01.03.2011;22673
01.04.2011;22519
01.05.2011;22779
01.06.2011;24137
01.07.2011;23598
01.08.2011;23051
01.09.2011;23468
01.10.2011;23602
01.11.2011;24296
01.12.2011;32809
01.01.2012;23746
01.02.2012;24036
01.03.2012;25487
01.04.2012;25800
01.05.2012;26385
01.06.2012;27494
01.07.2012;26684
01.08.2012;25718
01.09.2012;25996
01.10.2012;26803
01.11.2012;27448
01.12.2012;36450
01.01.2013;26840
01.02.2013;26620
01.03.2013;28693
01.04.2013;30026
01.05.2013;29723
01.06.2013;30986
01.07.2013;30229
01.08.2013;29226
01.09.2013;29346
01.10.2013;30069
01.11.2013;30290
01.12.2013;39648
01.01.2014;29535
01.02.2014;29255
01.03.2014;31486
01.04.2014;32947
01.05.2014;32272
01.06.2014;33726
01.07.2014;32515
01.08.2014;30763
01.09.2014;31929
01.10.2014;32439
01.11.2014;32546
01.12.2014;42136
01.01.2015;30929
01.02.2015;31325
01.03.2015;32642
01.04.2015;34377
01.05.2015;34380
01.06.2015;35395
01.07.2015;33901
01.08.2015;32176
01.09.2015;32911
01.10.2015;33357
01.11.2015;33347
