product_class_id	product_id	brand_name	product_name	SKU	SRP	gross_weight	net_weight	recyclable_package	low_fat	units_per_case	cases_per_pallet	shelf_width	shelf_height	shelf_depth
30	1	Washington	Washington Berry Juice	90748583674	2.85	8.39	6.39	FALSE	FALSE	30	14	16.9	12.6	7.4
52	2	Washington	Washington Mango Drink	96516502499	0.74	7.42	4.42	FALSE	TRUE	18	8	13.4	3.71	22.6
52	3	Washington	Washington Strawberry Drink	58427771925	0.83	13.1	11.1	TRUE	TRUE	17	13	14.4	11	7.77
19	4	Washington	Washington Cream Soda	64412155747	3.64	10.6	9.6	TRUE	FALSE	26	10	22.9	18.9	7.93
19	5	Washington	Washington Diet Soda	85561191439	2.19	6.66	4.65	TRUE	FALSE	7	10	20.7	21.9	19.2
19	6	Washington	Washington Cola	29804642796	1.15	15.8	13.8	FALSE	FALSE	14	10	6.42	18.1	21.3
19	7	Washington	Washington Diet Cola	20191444754	2.61	18	17	TRUE	FALSE	11	7	15	16.9	21
30	8	Washington	Washington Orange Juice	89770532250	2.59	8.97	6.97	TRUE	FALSE	27	7	7.56	11.8	8.92
30	9	Washington	Washington Cranberry Juice	49395100474	2.42	7.14	5.13	FALSE	FALSE	34	7	18.5	16.1	14.4
30	10	Washington	Washington Apple Juice	22114084362	1.42	8.13	7.13	TRUE	FALSE	28	14	21.6	7.32	9.2
52	11	Washington	Washington Apple Drink	17074288725	3.51	20	19	FALSE	TRUE	3	10	19.4	10.3	20.4
35	12	Jeffers	Jeffers Oatmeal	49031038880	1.54	8.9	6.89	TRUE	TRUE	14	6	15.9	15.4	10.8
35	13	Jeffers	Jeffers Corn Puffs	13229009509	2.65	10.4	7.39	FALSE	FALSE	20	10	18.2	10.3	14.6
35	14	Jeffers	Jeffers Wheat Puffs	92942813038	1.93	21.6	20.6	TRUE	TRUE	33	10	7.73	6.94	8.01
35	15	Jeffers	Jeffers Grits	26378549933	2.29	21.3	20.2	FALSE	TRUE	14	9	8.96	18.3	12.4
62	16	Blue Label	Blue Label Canned Beets	62908702492	3.83	21.2	18.2	FALSE	TRUE	31	10	19	21.9	9.39
62	17	Blue Label	Blue Label Creamed Corn	79484335780	2.99	6.91	3.9	TRUE	TRUE	34	9	7.8	17.8	8.26
62	18	Blue Label	Blue Label Canned String Beans	85252254605	2.67	12.6	10.6	TRUE	FALSE	26	10	8.87	5.18	13.3
58	19	Blue Label	Blue Label Chicken Soup	47163524031	3.19	15.2	12.1	TRUE	TRUE	35	7	22.6	21.1	16.9
62	20	Blue Label	Blue Label Canned Yams	22169209122	2.78	21.3	19.2	FALSE	TRUE	22	8	5.95	5.22	11.8
58	21	Blue Label	Blue Label Vegetable Soup	43318244814	2.33	19.7	18.7	FALSE	TRUE	18	7	11.7	18.8	11.6
62	22	Blue Label	Blue Label Canned Tomatos	77561696171	2.29	15	14	FALSE	FALSE	31	13	19	8.73	5.02
58	23	Blue Label	Blue Label Noodle Soup	32829326987	1.75	10.6	9.6	TRUE	FALSE	17	9	19.8	3.16	15.7
58	24	Blue Label	Blue Label Regular Ramen Soup	12408414483	1.73	12.8	10.8	FALSE	TRUE	23	8	20.7	21.3	6.98
58	25	Blue Label	Blue Label Chicken Noodle Soup	62032982707	1.55	9.48	8.47	TRUE	TRUE	21	10	4.98	4.71	22.4
58	26	Blue Label	Blue Label Turkey Noodle Soup	34751966595	0.88	16.5	13.5	TRUE	TRUE	21	11	12.8	11	12
