Price	Year
142	2002
232	2002
132.5	2002
200	2002
362	2002
244.95	2002
335	2002
324.5	2002
222	2002
225	2002
175	2002
50	2002
215	2002
260	2002
307	2002
210.95	2002
1370	2002
215.5	2002
179.8	2002
217	2002
197.5	2002
146.5	2002
116.7	2002
449.9	2002
266	2002
265	2002
256	2002
684.5	2002
257	2002
570	2002
149.4	2002
155	2002
244.9	2002
66.407	2002
166	2002
296	2002
148.5	2002
270	2002
252.95	2002
507	2002
705	2002
1850	2002
290	2002
164.95	2002
375	2002
335	2002
987.5	2002
330	2002
149.95	2002
190	2002
419	2001
55.268	2001
65	2001
210	2001
510.728	2001
212.2	2001
152.720	2001
266.6	2001
69.427	2001
125	2001
191	2001
451	2001
469	2001
310	2001
325	2001
50	2001
675	2001
140	2001
105.5	2001
285	2001
320	2001
305	2001
255	2001
95.179	2001
346	2001
199	2001
450	2001
280	2001
205.5	2001
135	2001
190	2001
452.5	2001
335	2001
455	2001
291.905	2001
239.9	2001
369.95	2001
569	2001
481	2001
475	2001
495	2001
195	2001
237.5	2001
143	2001
218.95	2001
239	2001
710	2001
172	2001
228.5	2001
270	2001
